source_authority,species
IATTC,ALB
ICCAT,ALB
IOTC,ALB
WCPFC,ALB
IATTC,ALV
ICCAT,ALV
WCPFC,ALV
IATTC,BET
ICCAT,BET
IOTC,BET
WCPFC,BET
ICCAT,BFT
IATTC,BIL
ICCAT,BIL
IOTC,BIL
WCPFC,BIL
IATTC,BKJ
ICCAT,BLF
IATTC,BLM
IOTC,BLM
WCPFC,BLM
IATTC,BLT
ICCAT,BLT
IOTC,BLT
WCPFC,BLT
ICCAT,BON
ICCAT,BOP
ICCAT,BRS
IATTC,BSH
ICCAT,BSH
IOTC,BSH
WCPFC,BSH
IATTC,BTH
ICCAT,BTH
IOTC,BTH
WCPFC,BTH
IATTC,BUM
ICCAT,BUM
IOTC,BUM
WCPFC,BUM
IATTC,BXQ
ICCAT,BXQ
IOTC,BXQ
WCPFC,BXQ
IATTC,BZX
ICCAT,BZX
IOTC,BZX
WCPFC,BZX
ICCAT,CER
IOTC,COM
WCPFC,COM
IATTC,FAL
ICCAT,FAL
IOTC,FAL
WCPFC,FAL
IATTC,FRI
ICCAT,FRI
IOTC,FRI
WCPFC,FRI
IATTC,FRZ
ICCAT,FRZ
IOTC,FRZ
WCPFC,FRZ
IOTC,GUT
WCPFC,GUT
IOTC,KAW
WCPFC,KAW
ICCAT,KGM
IATTC,KGX
ICCAT,KGX
IOTC,KGX
WCPFC,KGX
IATTC,LMA
ICCAT,LMA
IOTC,LMA
WCPFC,LMA
IOTC,LOT
WCPFC,LOT
ICCAT,LTA
IATTC,MAK
ICCAT,MAK
IOTC,MAK
WCPFC,MAK
IATTC,MAN
ICCAT,MAN
IOTC,MAN
WCPFC,MAN
ICCAT,MAW
IATTC,MLS
IOTC,MLS
WCPFC,MLS
IATTC,OCS
ICCAT,OCS
IOTC,OCS
WCPFC,OCS
IATTC,PBF
WCPFC,PBF
IATTC,POR
ICCAT,POR
IOTC,POR
WCPFC,POR
IATTC,PTH
IOTC,PTH
WCPFC,PTH
IATTC,RMB
ICCAT,RMB
IOTC,RMB
WCPFC,RMB
IATTC,RMM
ICCAT,RMM
IOTC,RMM
WCPFC,RMM
IATTC,RMT
ICCAT,RMT
IOTC,RMT
WCPFC,RMT
IATTC,RSK
ICCAT,RSK
IOTC,RSK
WCPFC,RSK
ICCAT,SAI
CCSBT,SBF
IATTC,SFA
ICCAT,SFA
IOTC,SFA
WCPFC,SFA
IATTC,SKH
ICCAT,SKH
IOTC,SKH
WCPFC,SKH
IATTC,SKJ
ICCAT,SKJ
IOTC,SKJ
WCPFC,SKJ
IATTC,SLT
ICCAT,SLT
IOTC,SLT
WCPFC,SLT
IATTC,SMA
ICCAT,SMA
IOTC,SMA
WCPFC,SMA
ICCAT,SPF
IATTC,SPK
ICCAT,SPK
IOTC,SPK
WCPFC,SPK
IATTC,SPL
ICCAT,SPL
IOTC,SPL
WCPFC,SPL
IATTC,SPN
ICCAT,SPN
IOTC,SPN
WCPFC,SPN
IATTC,SPY
ICCAT,SPY
IOTC,SPY
WCPFC,SPY
IATTC,SPZ
ICCAT,SPZ
IOTC,SPZ
WCPFC,SPZ
IATTC,SRX
ICCAT,SRX
IOTC,SRX
WCPFC,SRX
ICCAT,SSM
IATTC,SSP
IOTC,SSP
WCPFC,SSP
IATTC,SWO
ICCAT,SWO
IOTC,SWO
WCPFC,SWO
IATTC,THR
ICCAT,THR
IOTC,THR
WCPFC,THR
IATTC,TUN
ICCAT,TUN
IOTC,TUN
WCPFC,TUN
IATTC,TUS
ICCAT,TUS
IOTC,TUS
WCPFC,TUS
IATTC,WAH
ICCAT,WAH
IOTC,WAH
WCPFC,WAH
ICCAT,WHM
IATTC,YFT
ICCAT,YFT
IOTC,YFT
WCPFC,YFT
ICCAT,MSP
IATTC,BIP
IOTC,BIP
WCPFC,BIP
IOTC,STS
WCPFC,STS
IATTC,KGX
ICCAT,KGX
IOTC,KGX
WCPFC,KGX
IATTC,BXQ
ICCAT,BXQ
IOTC,BXQ
WCPFC,BXQ
IATTC,TUS
ICCAT,TUS
IOTC,TUS
WCPFC,TUS
IATTC,FRZ
ICCAT,FRZ
IOTC,FRZ
WCPFC,FRZ
IATTC,TUX
ICCAT,TUX
IOTC,TUX
WCPFC,TUX
